company,itemName,type,Size,length,waistWidth,gender,price,image,siteUrl
Standard error,87-STAN045 빈티지 퍼티그 워싱 와이드 데님팬츠 빈티지 핑크,하의,S,37.5,32,공용,33900,https://image.msscdn.net/images/goods_img/20240227/3902772/3902772_17159382005659_big.jpg,https://www.musinsa.com/app/goods/3902772
Standard error,87-STAN045 빈티지 퍼티그 워싱 와이드 데님팬츠 빈티지 핑크,하의,M,104.5,39,공용,33900,https://image.msscdn.net/images/goods_img/20240227/3902772/3902772_17159382005659_big.jpg,https://www.musinsa.com/app/goods/3902772
Standard error,87-STAN045 빈티지 퍼티그 워싱 와이드 데님팬츠 빈티지 핑크,하의,L,108,41,공용,33900,https://image.msscdn.net/images/goods_img/20240227/3902772/3902772_17159382005659_big.jpg,https://www.musinsa.com/app/goods/3902772
UNTAPPED STUDIO,YKK 베이직 와이드 청바지 데님 팬츠,하의,M,101,40,남성,33750,https://image.msscdn.net/images/goods_img/20240207/3856803/3856803_17153227097657_500.jpg,https://www.musinsa.com/app/goods/3856803
UNTAPPED STUDIO,YKK 베이직 와이드 청바지 데님 팬츠,하의,L,102.5,42,남성,33750,https://image.msscdn.net/images/goods_img/20240207/3856803/3856803_17153227097657_500.jpg,https://www.musinsa.com/app/goods/3856803
UNTAPPED STUDIO,YKK 베이직 와이드 청바지 데님 팬츠,하의,XL,104,44,남성,33750,https://image.msscdn.net/images/goods_img/20240207/3856803/3856803_17153227097657_500.jpg,https://www.musinsa.com/app/goods/3856803
UNTAPPED STUDIO,YKK 베이직 와이드 청바지 데님 팬츠,하의,2XL,105.5,46,남성,33750,https://image.msscdn.net/images/goods_img/20240207/3856803/3856803_17153227097657_500.jpg,https://www.musinsa.com/app/goods/3856803
UNTAPPED STUDIO,YKK 베이직 와이드 청바지 데님 팬츠,하의,3XL,107,48,남성,33750,https://image.msscdn.net/images/goods_img/20240207/3856803/3856803_17153227097657_500.jpg,https://www.musinsa.com/app/goods/3856803
SIGNATURE,썸머 하프밴딩 린넨 데님 팬츠,하의,M,104,38,공용,39900,https://image.msscdn.net/images/goods_img/20240502/4103468/4103468_17153362649778_500.jpg,https://www.musinsa.com/app/goods/4103468
SIGNATURE,썸머 하프밴딩 린넨 데님 팬츠,하의,L,105,40,공용,39900,https://image.msscdn.net/images/goods_img/20240502/4103468/4103468_17153362649778_500.jpg,https://www.musinsa.com/app/goods/4103468
